"1_cauchy","2_cauchy","3_cauchy","1_exp","2_exp","3_exp","1_pois","2_pois","3_pois","1_chisq","2_chisq","3_chisq","1_nbinom_m=10","2_nbinom_m=10","3_nbinom_m=10"
"1",-0.233333227506379,24.4444077948841,-0.296704759871798,0.17797360320886,0.367673323585196,0.47432405796695,8,8,6,5.11917888818482,3.41865438188601,6.61815164153535,13,6,10
"2",0.589358455652111,1.88311954232092,1.07547872043189,0.817797670098853,0.506726091078727,0.124502737385531,4,6,11,6.18876448169391,5.82368300953791,5.26400989727719,4,5,8
"3",0.537955198111372,3.11318279699293,2.0467618174447,0.0602929154410958,0.0326825624021391,0.0276324017904699,7,3,2,2.83413702391863,3.80457462852012,2.11393804646638,5,10,8
"4",-1.47414399461377,91.2726318456172,2.83041149881476,0.528441130958183,0.260229687130072,0.381958079820776,9,5,10,8.04194660378689,2.89914884749306,3.43972731338464,4,7,7
"5",-1.66622953310279,2.20522192318881,1.39966137192642,0.853930554679298,0.606690729008921,0.147385077240566,6,5,8,5.36008741118408,1.90222812440884,3.92820838487935,11,11,6
"6",1.99086815290516,2.09362375694592,-10.106072585445,0.254211289962049,0.12384881293377,0.0524849771269116,5,1,5,4.97298220347594,3.02248699315806,8.1702453159775,5,2,7
"7",5.86696459525239,1.29656899674183,-2.0331529300253,0.28764754856135,0.540456013105122,0.0133032196511825,5,7,12,16.362776712491,7.19146790259412,2.17987919806365,5,9,5
"8",0.311901181915355,-1.76286804293466,0.638897877848335,0.476991389266509,0.0686732412626346,0.920348940375161,3,7,8,3.89497405817371,6.53835562178992,2.36651541473238,14,4,3
"9",49.8111975125769,-0.785942727135855,2.98571388623347,0.722884492794438,0.249099829841061,0.454114492347741,5,6,6,2.01098179349105,4.07929341753672,11.3353763543116,11,7,7
"10",1.08536463170727,-0.332578896645019,-4.8143357575998,0.0474700240107874,0.165905874688178,0.187969745602459,5,7,4,2.18708274000814,4.19292780683208,7.53281419005054,14,8,10
"11",5.45887656854528,1.90916574438617,5.53007248292713,0.0784698365759665,0.728816076450261,0.145321552020808,6,6,5,4.88157265580965,0.475903996980309,4.39770290282166,4,4,10
"12",-3.41756132714915,-7.87806798371657,2.52340125283618,0.0846607210114598,0.0194879519991833,0.0608575421695908,4,8,5,5.26425305010431,13.760233435894,0.919898524475247,6,7,3
"13",8.7110214472256,-0.987624295659581,0.069117556350454,0.138405048909287,0.148666062392294,0.0899035953916609,3,8,9,8.06131602490794,2.0368382086206,4.35387903331825,4,13,6
"14",5.45152242259009,5.76072798712688,-60.9098728961077,0.704732561092275,0.719035089955433,0.236007681686432,6,8,10,5.98067084881495,2.45810322508367,4.98431188165219,2,6,7
"15",84.2599141059449,1.9329337463004,0.900394303958905,0.657240411238678,0.345789783270618,0.0547574951002995,8,6,4,9.10406368640795,0.970357786970345,9.21386464255245,5,6,14
